Code	Latitud	lat_wgs84	Elevation
R02	3886531	34.997821	788
R04	3901957	35.136285	412
R05	3917976	35.280066	637
R06	3918008	35.280353	63
R07	3894410	35.068544	1362
R08	3892767	35.053796	1274
R09	3898468	35.104968	1209
R10	3894314	35.067682	1042
R11	3892843	35.054478	1200
B01	4120836	37.100355	1314
B02	4128997	37.173565	1201
B04	4087044	36.797202	1053
B05	4078887	36.72402	804
B06	4071685	36.659405	124
B07	4082424	36.755753	981
B08	4085782	36.78588	910
B09	4193742	37.754314	1165
B10	4193848	37.755265	1084
B11	4123899	37.127833	1200
P01	4788602	43.085046	550
P02	4783904	43.042984	617
P03	4797950	43.168739	137
P04	4787575	43.075852	855
P05	4793029	43.124682	193
P06	4793034	43.124727	304
P07	4786155	43.063138	274
P08	4785140	43.05405	305
P09	4771378	42.930833	818
P10	4767916	42.899835	683
J01	5182147	46.606164	354
J02	5195242	46.723243	338
J03	5233731	47.067328	568
J04	5244225	47.161134	332
J05	5225192	46.990995	542
J06	5181699	46.602159	682
J07	5176321	46.554074	931
J08	5165883	46.460745	785
J09	5150437	46.322631	405
J10	5152462	46.340738	777
J11	5137480	46.206767	784
C01	5450795	49.006883	843
C02	5457173	49.063847	938
C03	5399800	48.551372	453
C04	5419073	48.723539	650
C05	5423384	48.762047	887
C06	5422856	48.757331	678
C07	5452508	49.022182	749
C08	5432064	48.83958	614
C09	5445687	48.96126	615
C10	5447595	48.978302	680
C11	5427999	48.80327	869
S01	7041763	63.15514	478
S02	7056033	63.281277	288
S03	6993936	62.732246	313
S04	7000839	62.793296	319
S05	7002018	62.803723	337
S06	7033043	63.078052	311
S07	7029700	63.048497	306
S08	7007949	62.856173	327
S09	7031954	63.068425	428
S10	7058788	63.305627	342
S11	7085473	63.541444	321
