Group	Group2	Family	Genus	Code	SIZE1	SIZE2	SIZE3	SIZE4	SIZE5	SIZE6	SIZE7	NCREQ1	NCRMO1	SEMIVO	UNIVO	PLURIVO	EGG	LARVA	NYMPH	IMAGO	OVOV	FREEGG	CEMEGG	CEMCLU	FRECLU	CLUVEG	CLUTER	ASEXU	RFEGG	RFCOC	RFCELL	RFDIAP	RFNON	TEG	GILL	PLAS	SPIR	AQUPAS	AQUACT	AERPAS	AERACT	FLIER	SURSWI	SWIMM	CRAW	BURR	INTST	TEMATT	PERATT
Nematomorpha	NEM	Mermithidae	Gordiacae	N-MER	0	0	0	0	0	0	1	0.75	0.25	0.2	0.2	0.6	0.4	0.2	0	0.4	0	0	0	1	0	0	0	0	0	0.25	0.25	0.25	0.25	1	0	0	0	0.6	0.2	0.2	0	0	0	0.17	0.33	0	0	0.5	0
Nematomorpha	NEM	Mermithidae	Mermithidae	N-MER	0	0	0	0	0	0	1	0.75	0.25	0	1	0	0	0	0.5	0.5	0	0.34	0	0.33	0.11	0	0.22	0	0	0	0	0.67	0.33	1	0	0	0	0	0	1	0	0	0.5	0.5	0	0	0	0	0
Nematomorpha	NEM	Gordiidae	Gordius	N-GOR	0	0	0	0	0	0	1	0.75	0.25	0.2	0.2	0.6	0	0.43	0.43	0.14	0.1	0.1	0.3	0.2	0.1	0	0.2	0	0	0	0	0.75	0.25	0.5	0	0	0.5	0	0	1	0	0.2	0.2	0.6	0	0	0	0	0
Bivalvia	BIV	Margaritiferidae	Margaritifera	B-UNI	0	0	0	0	0	0	1	0	1	0	1	0	0.34	0.33	0	0.33	1	0	0	0	0	0	0	0	0	0	0	0	1	0.25	0.75	0	0	0.75	0.25	0	0	0	0	0	0	0.75	0	0.25	0
Bivalvia	BIV	Unionidae	Anodonta	B-UNI	0	0	0	0	0	0	1	0	1	0	1	0	0.34	0.33	0	0.33	1	0	0	0	0	0	0	0	0	0	0	0	1	0.25	0.75	0	0	0.5	0.17	0.33	0	0	0	0	0	0.75	0	0.25	0
Bivalvia	BIV	Unionidae	Potomida	B-UNI	0	0	0	0	0	0	1	0	1	0	1	0	0.34	0.33	0	0.33	1	0	0	0	0	0	0	0	0	0	0	0	1	0.25	0.75	0	0	0.75	0.25	0	0	0	0	0	0	0.75	0	0.25	0
Bivalvia	BIV	Unionidae	Pseudanodonta	B-UNI	0	0	0	0	0	0	1	0	1	0	1	0	0.34	0.33	0	0.33	1	0	0	0	0	0	0	0	0	0	0	0	1	0.25	0.75	0	0	0.75	0.25	0	0	0	0	0	0	0.75	0	0.25	0
Bivalvia	BIV	Unionidae	Unio	B-UNI	0	0	0	0	0	0	1	0	1	0	1	0	0.34	0.33	0	0.33	1	0	0	0	0	0	0	0	0	0	0	0	1	0.25	0.75	0	0	0.5	0.17	0.33	0	0	0	0	0	0.75	0	0.25	0
Bivalvia	BIV	Corbiculidae	Corbicula	B-VEN	0	0	0	0	0.25	0.75	0	0	1	0	0.5	0.5	0.34	0.33	0	0.33	0.75	0.25	0	0	0	0	0	0	0	0	0.25	0	0.75	0.25	0.75	0	0	0.75	0.25	0	0	0	0	0.17	0.17	0.66	0	0	0
Bivalvia	BIV	Dreissenidae	Congeria	B-VEN	0	0	0	0.75	0.25	0	0	0	1	0	1	0	0.34	0.33	0	0.33	1	0	0	0	0	0	0	0	0	0	0	0	1	0.25	0.75	0	0	0.75	0.25	0	0	0	0	0.2	0.2	0	0	0	0.6
